第2001回,7982,7982,7,9,8,2
第2002回,2703,2703,2,7,0,3
第2003回,2892,2892,2,8,9,2
第2004回,146,0146,0,1,4,6
第2005回,4052,4052,4,0,5,2
第2006回,5440,5440,5,4,4,0
第2007回,8799,8799,8,7,9,9
第2008回,8999,8999,8,9,9,9
第2009回,5022,5022,5,0,2,2
第2010回,1215,1215,1,2,1,5
第2011回,6616,6616,6,6,1,6
第2012回,7084,7084,7,0,8,4
第2013回,9176,9176,9,1,7,6
第2014回,7848,7848,7,8,4,8
第2015回,2871,2871,2,8,7,1
第2016回,4071,4071,4,0,7,1
第2017回,2933,2933,2,9,3,3
第2018回,8253,8253,8,2,5,3
第2019回,969,969,0,9,6,9
第2020回,6518,6518,6,5,1,8
第2021回,1299,1299,1,2,9,9
第2022回,6929,6929,6,9,2,9
第2023回,3109,3109,3,1,0,9
第2024回,2410,2410,2,4,1,0
第2025回,7546,7546,7,5,4,6
第2026回,2706,2706,2,7,0,6
第2027回,666,666,0,6,6,6
第2028回,497,497,0,4,9,7
第2029回,5486,5486,5,4,8,6
第2030回,1501,1501,1,5,0,1
第2031回,625,625,0,6,2,5
第2032回,4478,4478,4,4,7,8
第2033回,3036,3036,3,0,3,6
第2034回,581,581,0,5,8,1
第2035回,2675,2675,2,6,7,5
第2036回,2356,2356,2,3,5,6
第2037回,6738,6738,6,7,3,8
第2038回,4861,4861,4,8,6,1
第2039回,4738,4738,4,7,3,8
第2040回,3876,3876,3,8,7,6
第2041回,9316,9316,9,3,1,6
第2042回,5973,5973,5,9,7,3
第2043回,3840,3840,3,8,4,0
第2044回,7732,7732,7,7,3,2
第2045回,8069,8069,8,0,6,9
第2046回,4874,4874,4,8,7,4
第2047回,3877,3877,3,8,7,7
第2048回,4022,4022,4,0,2,2
第2049回,4007,4007,4,0,0,7
第2050回,4619,4619,4,6,1,9
第2051回,6115,6115,6,1,1,5
第2052回,1929,1929,1,9,2,9
第2053回,9662,9662,9,6,6,2
